id,pop2023,status,longitude,latitude,Type
1,1.4,existing,109.8006,-7.5694,Hydro
2,6.87,existing,107.6186,-6.9039,Hydro
3,30,existing,115.0074,-3.5156,Hydro
4,700.72,existing,107.3663,-6.9126,Hydro
5,1,existing,109.3331,-7.4733,Hydro
6,29,existing,112.551,-8.1764,Hydro
7,1.4,existing,110.2622,-7.4764,Hydro
8,286,existing,99.2793,2.5196,Hydro
9,175,existing,100.6034,-0.6909,Hydro
10,50,existing,98.7792,1.7427,Hydro
11,105,existing,112.4443,-8.1606,Hydro
13,317,existing,99.3028,2.5479,Hydro
14,12,existing,110.4069,-6.9485,Hydro
15,36,existing,111.9025,-8.0657,Hydro
16,18.36,existing,107.6186,-6.9039,Hydro
17,110,existing,104.5733,-5.3096,Geothermal
18,227,existing,107.6258,-7.1966,Geothermal
19,1692,planned,104.0631,1.1329,Solar
21,70,planned,120.5982,-8.5101,Solar
22,54,existing,112.3311,-8.0776,Hydro
23,50,planned,108.1781,-6.4511,Solar
24,50,planned,109.5734,-7.6333,Solar
25,50,planned,112.238,-7.5389,Solar
26,10,planned,117.7436784,-8.190373479,Solar
27,5,planned,108.1781,-6.4511,Solar
28,9000,planned,117.8146,2.6048,Hydro
29,1040,planned,107.2173,-6.9458,Hydro
30,174,planned,100.0985,-2.6767,Hydro
31,10.5,construction,103.2757782,-3.041492462,Solar
32,145,construction,107.3371709,-6.692489072,Solar
33,100,planned,109.354,-0.0596,Solar
34,150,planned,106.9177,-6.9701,Wind
35,180,existing,99.259,2.5113,Hydro
36,100,planned,104.7308,-2.9708,Solar
37,126,existing,119.6042,-3.1141,Hydro
38,90,planned,100.5567872,-0.611631193,Solar
39,10,planned,105.2203701,-2.042382749,Solar
40,130,existing,121.357,-2.5213,Hydro
41,3.85,existing,107.5564,-6.6247,Hydro
42,92.8,existing,104.8051,-4.9822,Hydro
43,20.1,existing,119.5817,-5.2779,Hydro
44,50,planned,114.547293,-8.21340387,Solar
45,60,planned,107.3887319,-6.917611657,Solar
46,19.2,existing,107.6186,-6.9039,Hydro
47,1008,existing,107.3671,-6.7004,Hydro
48,55,existing,107.7394,-7.2173,Geothermal
49,215,existing,107.7394,-7.2173,Geothermal
50,60,existing,109.9119,-7.2061,Geothermal
51,3.2,existing,111.6715,-7.7201,Hydro
52,2.7,existing,111.1317,-8.1408,Hydro
53,375,existing,106.648,-6.7416,Geothermal
54,186,existing,107.389,-6.523,Hydro
55,140,existing,107.4553,-6.4239,Geothermal
56,60,existing,107.4553,-6.4239,Geothermal
57,8.04,existing,109.2778,-7.5097,Hydro
58,1.117,existing,110.7964,-7.0069,Hydro
59,114,existing,100.8814,0.2905,Hydro
60,18.9,existing,107.6186,-6.9039,Hydro
61,20,existing,124.8392,1.3346,Geothermal
62,80,existing,124.8225,1.2542,Geothermal
63,19.56,existing,107.6186,-6.9039,Hydro
64,165,existing,121.5783,-2.8194,Hydro
65,82,existing,98.065,3.0824,Hydro
66,4.5,existing,112.2173,-8.1613,Hydro
67,123,existing,100.152,-0.2923,Hydro
68,23,existing,112.3316,-7.854,Hydro
69,215.475,existing,102.435,-3.766,Hydro
70,100,construction,100.5523774,-0.550774614,Solar
71,100,construction,104.7308,-2.9708,Solar
72,2.2,existing,111.6167,-7.7891,Hydro
73,180.9,existing,109.6054,-7.3927,Hydro
74,6.3,existing,112.2869,-8.1136,Hydro
